meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
20th Commonwealth Games 2014,24.17,25/07/2014,Women 50 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,179,188,946,Glasgow,GBR
Olympic Games Beijing 2008,24.17,17/08/2008,Women 50 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,179,189,1004,Beijing,CHN
Rotterdam 2023,24.18,03/12/2023,Women 50 Freestyle LCM Female,POL,Poland,"WASICK, Katarzyna",F,22/03/1992,,,190,190,938,Rotterdam,NED
19th FINA World Championships Budapest 2022,24.18,25/06/2022,Women 50 Freestyle LCM Female,POL,Poland,"WASICK, Katarzyna",F,22/03/1992,,,190,191,938,Budapest,HUN
FINA Champions Swim Series 2019,24.18,01/06/2019,Women 50 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,190,192,938,Indianapolis,USA
55th International Trophy Sette Colli,24.18,29/06/2018,Women 50 Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,190,193,938,Rome,ITA
Australian National Championships (50m),24.18,01/04/2014,Women 50 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,190,194,945,Brisbane,AUS
World Aquatics Championships - Doha 2024,24.19,17/02/2024,Women 50 Freestyle LCM Female,USA,United States of America,"DOUGLASS, Kate",F,17/11/2001,,,195,195,929,Doha,QAT
Olympic Games Tokyo 2020,24.19,31/07/2021,Women 50 Freestyle LCM Female,USA,United States of America,"WEITZEIL, Abbey",F,03/12/1996,,,195,196,936,Tokyo,JPN
Hancock Prospecting National Championships Australia (50m),24.19,03/03/2018,Women 50 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,195,197,936,Gold Coast,AUS
Olympic Games Rio 2016,24.19,13/08/2016,Women 50 Freestyle LCM Female,NED,Netherlands,"KROMOWIDJOJO, Ranomi",F,20/08/1990,,,195,198,944,Rio de Janeiro,BRA
Australian National Championships (50m),24.19,09/04/2015,Women 50 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Bronte",F,14/05/1994,,,195,199,944,Sydney,AUS
15th FINA World Championships 2013,24.19,03/08/2013,Women 50 Freestyle LCM Female,AUS,Australia,"CAMPBELL, Cate",F,20/05/1992,,,195,200,944,Barcelona,ESP
