meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games Paris 2024,21.56,02/08/2024,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,184,184,912,Paris,FRA
World Aquatics Championships - Doha 2024,21.56,16/02/2024,Men 50 Freestyle LCM Male,UKR,Ukraine,"BUKHOV, Vladyslav",M,05/07/2002,,,184,185,912,Doha,QAT
French Elite 2023,21.56,15/06/2023,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,184,186,912,Rennes,FRA
22nd Luxembourg Euro Meet 2020,21.56,25/01/2020,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,184,187,912,Luxembourg,LUX
FINA Swimming World Cup 2019,21.56,02/08/2019,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,184,188,912,Tokyo,JPN
18th FINA World Championships 2019,21.56,26/07/2019,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,184,189,912,Gwangju,KOR
Mare Nostrum - 37th Meeting International de Natation de Monte Carlo 2019,21.56,09/06/2019,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,184,190,912,Monaco,MON
Arena Pro Series Minneapolis 2015,21.56,13/11/2015,Men 50 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07/12/1988,,,184,191,912,Minneapolis,USA
Arena Pro Series Minneapolis 2015,21.56,12/11/2015,Men 50 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07/12/1988,,,184,192,912,Minneapolis,USA
16th FINA World Championships 2015,21.56,08/08/2015,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,184,193,912,Kazan,RUS
13th FINA World Championships 2009,21.56,31/07/2009,Men 50 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,20/10/1981,,,184,194,,Rome,ITA
New South Wales State Championships,21.56,17/02/2008,Men 50 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,30/08/1985,,,184,195,990,Sydney,AUS
World Aquatics Championships - Fukuoka 2023,21.57,29/07/2023,Men 50 Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,196,196,910,Fukuoka,JPN
19th FINA World Championships Budapest 2022,21.57,24/06/2022,Men 50 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,196,197,910,Budapest,HUN
Olympic Games Tokyo 2020,21.57,01/08/2021,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,196,198,910,Tokyo,JPN
British Swimming Championships (50m),21.57,20/04/2019,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,196,199,910,Glasgow,GBR
Meeting International circuit FFN - Golden tour,21.57,06/02/2016,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,196,200,910,Amiens,FRA
